(968113241544, 540499674939)
(591622731875, 891914404235)
(916878225974, 1092671155894)
(203584491125, 913360764501)
(91478838734, 806239333607)
(841715100560, 451688042398)
(989766144162, 954424381027)
(226000138908, 409572943973)
(895210883351, 161888302207)
(862860050870, 904155927415)
(1017198670458, 1007129791795)
(925097069165, 361164093446)
(668036787342, 454901096698)
(183782221171, 542850163122)
(183667969963, 520619419464)
(290463753264, 475972962595)
(635250611180, 271281500599)
(292032119872, 471110671734)
(222095271307, 327176771615)
(552886553724, 736865095600)
(1096656140829, 580041609928)
(88816137249, 649022298825)
(849221892600, 36562154730)
(78654411868, 490661477971)
(632798392849, 1047839762165)
(862860050870, 904155927415)
(1017198670458, 1007129791795)
(925097069165, 361164093446)
(668036787342, 454901096698)
(183782221171, 542850163122)
(183667969963, 520619419464)
(290463753264, 475972962595)
(968113241544, 540499674939)
(591622731875, 891914404235)
(916878225974, 1092671155894)
(203584491125, 913360764501)
(91478838734, 806239333607)
(841715100560, 451688042398)
(989766144162, 954424381027)
(226000138908, 409572943973)
(895210883351, 161888302207)
(862860050870, 904155927415)
(1017198670458, 1007129791795)
(925097069165, 361164093446)
(668036787342, 454901096698)
(183782221171, 542850163122)
(183667969963, 520619419464)
(290463753264, 475972962595)
(635250611180, 271281500599)
(292032119872, 471110671734)
(222095271307, 327176771615)
(552886553724, 736865095600)
(1096656140829, 580041609928)
(88816137249, 649022298825)
(849221892600, 36562154730)
(78654411868, 490661477971)
(632798392849, 1047839762165)
(862860050870, 904155927415)
(1017198670458, 1007129791795)
(925097069165, 361164093446)
(668036787342, 454901096698)
(183782221171, 542850163122)
(183667969963, 520619419464)
(290463753264, 475972962595)
