"Amount" & "Part" & "Description" \\
1 & "C1" & "10u" \\
26 & "C8,C9,C10,C11,C12,C13,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C30,C31,C32,C33,C34,C35,C36" & "0.1u" \\
1 & "C14" & "100u" \\
2 & "C28,C29" & "CAP" \\
3 & "D1,D2,D3" & "DIODE" \\
8 & "D4,D5,D6,D7,D8,D9,D10,D11" & "LED" \\
3 & "J1,J8,J9" & "HEADER 15X2" \\
2 & "J4,J6" & "HEADER 7X2" \\
1 & "J5" & "CONN DSUB 9-P" \\
1 & "J7" & "CONN TRBLK 2" \\
1 & "J10" & "HEADER 30x2/SM" \\
11 & "R1,R3,R4,R18,R19,R20,R21,R22,R23,R24,R25" & "10k" \\
1 & "R2" & "POT" \\
13 & "R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17" & "RESISTOR" \\
3 & "SW1,SW21,SW22" & "SW TACT-SPST-2/SM" \\
18 & "SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19" & "SW TACT-SPST-2" \\
1 & "SW24" & "SW DIP-12" \\
1 & "U1" & "8086MIN" \\
1 & "U2" & "8284A" \\
2 & "U3,U37" & "74LS244" \\
3 & "U4,U5,U6" & "74LS373" \\
2 & "U7,U8" & "74LS245" \\
9 & "U9,U14,U18,U21,U24,U27,U29,U38,U40" & "16L8" \\
2 & "U10,U11" & "28F010" \\
4 & "U12,U13,U15,U16" & "CY7C199" \\
3 & "U17,U19,U20" & "82C55" \\
1 & "U22" & 8279 \\
1 & "U23" & 8254 \\
1 & "U25" & "PC16550D" \\
1 & "U26" & "MAX235" \\
1 & "U28" & "8259A" \\
1 & "U30" & "LCD" \\
2 & "U31,U33" & "7 Segment LED" \\
2 & "U32,U34" & "74ALS374" \\
1 & "U35" & "74LS14" \\
1 & "U39" & "74LS374" \\
1 & "Y1" & "CRYSTAL" \\
