20
SafeHouse     0.0 44 Homestead Circle
Intersection  0.0 Homestead Circle and Margaret Road
Intersection  0.0 Margaret Road and Bay Road
Intersection  0.0 Bay Road and Norman Road
Intersection  0.0 Bay Road and Paddock Lane
Intersection  0.0 Bay Road and Bridge Street
Intersection  0.0 Bridge Street and Woodbury Street
PoliceStation 0.7 Northeast Station
Intersection  0.0 Woodbury Street and Essex Street
Intersection  0.0 Essex Street and Walnut Road
Intersection  0.0 Walnut Road and Pine Street
Intersection  0.0 Walnut Road and Main Street
SafeHouse     0.0 Basement of Connolly's Pharmacy 
Intersection  0.0 Railroad Avenue and Willow Street
Intersection  0.0 Willow Street and Linden Street
PoliceStation 1.0 Downtown Station
Intersection  0.0 Main Street and Larch Row
Intersection  0.0 Main Street and Arbor Street
Intersection  0.0 Main Street and Monument Street
SafeHouse     0.0 Wenham Museum
1 2
2 3
1 3
3 4
3 5
5 6
5 1
2 6
7 8
7 9
8 9
9 10
9 12
11 10
11 12
11 13
12 13
10 13
13 14
14 15
14 16
11 16
14 18
16 19
15 19
18 20
11 19
16 17
6 7
0 0
