(671858120, 347717857)
(407537467, 629199229)
(1064728675, 520060553)
(708690315, 1007525839)
(976450102, 897676501)
(675720886, 418514174)
(647286389, 251093295)
(680214101, 437212116)
(210783694, 883302933)
(932965607, 159525307)
(975252368, 926086595)
(716476318, 1028849769)
(849924258, 899303142)
(941641315, 504085214)
(514355868, 807070004)
(477309029, 611088223)
(783943959, 617354192)
(827028607, 823305765)
(645366198, 33658312)
(65311607, 822154706)
(365163130, 743784172)
(1033702707, 777863146)
(605358701, 93581527)
(386840582, 639199572)
(169372814, 94259611)
