(456, 225)
(827, 381)
(99, 649)
(395, 975)
(566, 213)
(694, 254)
(629, 303)
(597, 980)
(462, 533)
(231, 443)
(912, 451)
(926, 105)
(162, 742)
(611, 734)
(668, 308)
(101, 863)
(279, 976)
(127, 549)
(438, 456)
(887, 466)
(634, 748)
(307, 1002)
(621, 215)
(6, 340)
(142, 411)
(250, 873)
(371, 554)
(434, 638)
(939, 554)
(840, 633)
(48, 579)
(291, 878)
(456, 225)
(827, 381)
(99, 649)
(395, 975)
(566, 213)
(694, 254)
(629, 303)
(597, 980)
(462, 533)
(231, 443)
(912, 451)
(926, 105)
(162, 742)
(611, 734)
(668, 308)
(101, 863)
(279, 976)
(127, 549)
(438, 456)
(887, 466)
(634, 748)
(307, 1002)
(621, 215)
(6, 340)
(142, 411)
(250, 873)
(371, 554)
(434, 638)
(939, 554)
(840, 633)
(48, 579)
(291, 878)
