(1096904973926824930696315518408, 1241109547841652481123469916259)
(1141466166095259627504142610998, 369074466760966749087383998069)
(928334046699735724101855104462, 726270117919211348183425821584)
(1126564491550599523007369629858, 1217034275852642984105255400092)
(451010878895294260663467772183, 199275192794400474641150214582)
(831157115067957132105504518778, 324048599280161505856776899181)
(785540508278058984241769245838, 1140263827895687742894807328115)
(730178989065169793426117808043, 1174247825635833354371467125808)
(1201308612804987811897364648940, 1084554390506559611377381049408)
(964743771931522519693552838027, 916255833102804041453476203644)
(558674328626517779572792801821, 563492842517539556545430991905)
(674452711103932185770678401528, 177552509366117949344477549660)
(314472919498085457274009629201, 1248393822008716001574526798808)
(244777024817311286305549405159, 45423712108814006700719121235)
(52756567550894490078616006326, 169186669341044217234462806367)
(659563657589259845558431092614, 290166594594314656299372613516)
(686411001244021437402487127397, 352339779481518369625484329767)
(235679081806052484824590190200, 686124017218982731385153536188)
(42744679703483678542528040596, 548235603749265357857720478304)
(722068200366201327362315258547, 653060202502663027702132991307)
